Exercise;trainsMuscle;exercise_instruction;hasUtility;hasMechanics;hasForce;usesEquipment
Shoulder_shrug;trapezius;Elevate shoulders as high as possible. Lower and repeat.;basic;isolated;pull;dumbbell
Leg_press;quadricep;Lower sled by flexing hips and knees until knees are just short of complete flexion. Return by extending knees and hips. Repeat.;basic;compound;push;machine
Upright_row;deltoid;pull bar to neck with elbows leading. Allow wrists to flex as bar rises. Lower and repeat.;basic;compound;pull;barbell
Hang_clean_(weightlifting);trapezius;Jump upward extending body. Shrug shoulders and pull barbell upward with arms allowing elbows to flex out to sides keeping bar close to body. Aggressively pull body under bar rotating elbows around bar. Catch bar on shoulders while moving into squat position. Hitting bottom of squat stand up immediately.;basic;compound;pull;barbell
Rear_delt_raise;deltoid;"Raise upper arms to sides until elbows are shoulder height. Maintain upper arms perpendicular to torso and fixed elbow position (10° to 30° angle) throughout exercise. Maintain height of elbows above wrists by raising ""pinkie finger"" side up. Lower and repeat.";auxiliary;isolated;pull;dumbbell
Front_raise;deltoid;Raise dumbbells forward and upward until upper arms are above horizontal. Lower and repeat.;auxiliary;isolated;push;dumbbell
push_press;deltoid;Dip body by bending knees hips and ankles slightly. Explosively drive upward with legs driving barbell up off shoulders vigorously extending arms overhead. Return to shoulders and repeat.;basic;compound;push;barbell
Supine_row;trapezius;Keeping body straight pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.;basic;compound;pull;barbell
pushdown_(exercise);tricep;Extend arms down. Return until forearm is close to upper arm. Repeat.;basic;isolated;push;cable
machine_fly;pectoralis_Major;Keeping elbows pointed high push lever handles forward and together. Return to back toward original position until mild stretch is felt in chest or shoulder. Repeat.;auxiliary;isolated;push;machine
Sumo_deadlift;hamstring;pull bar up by driving feet outward while pulling chest up. Extend knees when bar passes knees. At top of lift when torso is upright drive shoulders back and chest up. Return weight to floor by bending hips back and knees pointed outward while keeping chest high and back straight. Repeat.;basic;compound;pull;barbell
